predator,senderID,letterLines,wordLines,numberOfLines,spaces,funkyWords,posEmoticons,neuEmoticons,negEmoticons,consecutiveLetters,alert,blacklist,misspelledWords,negativeSent,positiveSent,message
p,2918b2f2b8fe0d6f185ec6a2dd79c632,0,-1,13,0,0,0,0,0,-1,1,1,3,-9,10,"nothing  being bored out of my mind what u doin? day off today u can come over if ya want wish i was gonna be around yeah thats really stupid what can i do to cheer u up? too bad she is there now or i could give ya some lovin to cheer ya up so what ya gonna do on your free days? cool cool i am soooooooooo bored right now null"
p,39bd8b11509b5ddc5948b5b77f034ea1,5,-1,21,1,0,0,0,0,-1,2,2,4,-12,13,"call me you cant when its on a charger ok wow what oh yeah i wish i had more time to work out though yeah ill put my cam on hold on ty im just web surfing hey how long have u been using messenger well u kno how when you go to search for a room and you have the join room tab on the pop up isnt there supposed to be another one for like personal rooms yeah thats what i thought that sucks cause they were the shit now they do i wonder why they did aol is okay but the profiles suck and alot of people dont fill em out well i can wait a few more minutes i dont like quick conversations 727 254 1585 eli null"
p,9dc04852863541e939e7c66cf5469240,1,-1,3,0,0,0,0,0,-1,0,0,0,0,0,"if u let me what time u be here i need talk to u null"
p,6f35a1f69fd4ae82056e4bc6a8a84575,0,-1,2,0,1,0,0,1,-1,0,0,0,-2,0,"where are u cory? i miss u!:( null"
p,c1f43e1c992120a1c460b8ef7d0b4e9b,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hi null"
p,d18fb2dc834414a71aace67bee91c432,2,-1,2,0,10,0,0,1,-1,2,2,3,-11,9,"cheles i miss you :(. i really enjoy talking to you. i hope your not mad at me for anything :(. sry i've been so busy lately. i just got stuck doing another final group project and i have to mainly do all the work which really blows. stupid school! i really really miss you. and i hope you don't think that i'm jsut saying that because i really do. you make me laugh and smile. i hope to talk you you soon again :-d null"
p,7dec33a7c4fc1d7295dea7cc5b966b5b,1,-1,5,0,0,0,0,0,-1,0,0,0,0,4,"wow you hung up om me well you should call me back ok ok null"
p,ca5496597b7151b9c2414c16c4ef5422,1,-1,13,2,0,0,0,0,-1,0,0,0,-4,3,"you there? i've been so busy sorry nice pic of you new pic? any new pics? no no new ones sorry it was okay how was yours? how did u get back online? null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,21,0,3,0,0,1,-1,3,3,3,0,21,"been to it yet so what color is your comfy pants n top nice my favor color so u been to the mall yet i c may i ask y not lol ok just wondering ;;) not at all :( ok u too sweet dreams :-*:-p on the lips yea u like maybe or not u still there nite sweet sexy dreams ok null"
p,4cf8a879997585d68c7cdd49401b9e86,1,-1,28,0,12,0,0,0,-1,4,5,3,0,9,"just in case i shave there so its not hary is that ok?? is it attractive??? why not??? oh so realy what are you going to do with it??? i want what you want what one??? just off the freeway?? i think i know where that is at ya so u want me to stick that in you??? i can do that can i play with your boobs too??? tight jeans what about undies and a bra i will have a black button up shirt and some blue jeans can i take off your panties??? mmmm can i take pics??? can i cum in your mouth??? it tastes good i hear lol humm have you ever played with yourself?? ok talk to me later tonight if you can null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,3,0,2,1,0,0,-1,0,0,0,0,0,"ok i'll be on at 8:30 i'm eating to null"
p,aebe7a87ad50fbad92d9931c49cae848,3,-1,33,0,4,0,0,0,-1,3,3,4,-9,17,"heey feel better? good felt like eating finaly huh? good yep here too may be cold this weekend me too wanna see you in alow top great not if it's too cold cool i'll bring you a nall cap ballcap so your hair don't blow all over do you have sunglasses? cool hate to see you cover those eyes though exotic eyes yep uh huh they just beg to be kissed i do lips too thanks they need kissing too damn  i have to go on a fire call  will you be on later? see you then i'll let you know when i get back so you can call bye for now :-* null"
p,d18fb2dc834414a71aace67bee91c432,1,-1,16,0,3,1,0,0,-1,0,0,2,-4,13,":-t lol hey there what brings u on so early? sitting in ur dungeon all bored are we? lol ooo what u studying? is christy helping? need help? lol write down a problem :) lets see if i can figure it out lol ooo u want me to let ya finish? k :) talk alter muah null"
p,fb169d16c42ca83583dd05b3f4d7fc98,1,-1,21,1,6,0,0,0,-1,3,3,4,-7,10,"really that sucks malls are always fun your friends can see you with some guy whos 8 years older than you lol westland how do you not know the name of a mall by you?i take it you dont go there very often :-t its a mall...inside? thats gay right sweeet well im off to get my tat son on my elbow sun* with a star with in the middle and i just got my last name on my back last week in some sweet ass lettering yep and then the tribal on my right arm but im having him re do it prolly soon want it bigger but i gotta get going its an hour drive for me its in ann arbor why dont you 586-565-1790 call me so i know i can call you :-p null"
p,2a77f862a19d8d47d21692543e90dee8,0,-1,2,0,1,0,0,0,-1,0,0,0,0,0,"> null"
